,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_CT,pitch_type_FF,pitch_type_SL
343,-4.886263484,10.81315717,2705.482522,76.98022294,-3.45,54.89,5.5,2.6,-1.4,5.614,49,6,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
344,-17.00419535,33.62359472,2350.172335,95.10757743,-3.5,55.06,5.4,-6.07,7.36,5.438,33,6,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
345,9.936154281,53.31497819,2545.186609,94.77072949,-3.18,54.35,5.3,-5.71,7.78,6.15,28,6,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
346,-14.15930271,40.89844953,2547.016905,96.25966366,-3.37,54.23,5.42,-7.2,7.6,6.269,32,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
347,8.257346793,32.86880906,2414.672272,91.77836119,-3.54,54.68,5.37,-8.25,8.19,5.817,24,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
348,-15.08347879,21.93460854,1422.040589,83.71941581,-3.55,54.46,5.26,-9.6,-0.45,6.037999999999999,23,1,0,2,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
349,-12.26436767,43.52358945,2494.50345,96.19011659,-3.39,54.56,5.31,-6.69,9.3,5.935,2,1,2,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
350,-0.502983759,27.82590693,2547.5331760000004,93.88950115,-3.37,54.72,5.54,-9.78,8.22,5.784,13,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
351,5.86743625,24.92348905,2307.876332,82.91877211,-3.74,54.74,4.97,0.31,-0.98,5.76,9,6,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
352,10.70448578,16.29733025,1382.080467,84.21296016,-3.52,54.26,5.13,-8.35,1.47,6.245,4,6,1,1,2,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
353,8.043168223,28.84568286,2277.89773,95.11120345,-3.57,54.56,5.16,-5.82,7.0,5.94,33,6,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
354,17.727248100000004,27.21718577,2343.634536,85.58845535,-3.57,54.66,5.13,0.35,0.05,5.84,14,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
355,-17.50778868,27.00017081,1353.36141,85.16852966,-3.51,54.55,5.11,-6.95,-3.03,5.946000000000001,54,1,3,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
356,-3.9488509880000002,29.56960705,2586.231596,79.45997098,-3.24,54.59,5.42,5.65,-3.4,5.9079999999999995,50,6,1,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
357,9.818490446,47.01766073,2378.027229,94.40980105,-3.37,54.39,5.61,-6.21,8.33,6.114,39,6,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
358,14.99895852,12.95907891,2551.87088,95.33951337,-3.54,54.33,5.07,-5.57,9.24,6.167000000000001,42,1,2,2,2,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
359,-15.97217247,35.84107542,2411.0016600000004,94.28929542,-3.76,54.23,5.13,-8.01,6.36,6.274,51,1,0,0,2,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
360,-1.018815302,30.46634849,2461.515054,94.02245408,-3.31,54.52,5.68,-8.08,8.08,5.979,33,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
361,-11.61871527,26.59145088,1365.264483,83.97194364,-3.42,54.83,5.14,-9.24,2.25,5.671,57,1,0,2,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
