,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_FF,pitch_type_FT,pitch_type_SL
576,6.242042007999999,40.30790629,2296.393496,96.629889,-1.06,53.1,5.7,-2.58,9.16,7.402,53,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
577,18.32543615,30.98383709,2365.895889,92.34983455,-0.92,53.43,5.71,0.77,4.67,7.066,28,10,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
578,-7.70478555,39.18152808,2419.262329,96.58808281,-1.08,53.87,5.66,-1.43,10.69,6.635,29,4,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
579,-16.23412118,31.83753415,2371.271241,96.58777649,-1.03,53.72,5.68,-4.76,10.05,6.781000000000001,49,4,1,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
580,-7.143386194,39.39662551,2512.015415,96.58337954,-1.4,53.87,5.39,-3.95,10.41,6.627999999999999,42,4,1,1,2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
581,20.32885004,39.94958913,2444.389279,97.31068597,-0.88,53.69,5.72,-2.48,8.95,6.806,49,4,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
582,-10.69285494,43.47328669,2478.9474170000003,93.39879874,-1.15,53.93,5.66,0.57,3.96,6.575,29,4,3,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
583,8.832168913,16.55101641,2473.400995,96.80840057,-0.83,53.68,5.59,-3.8,10.85,6.8229999999999995,41,4,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
584,-0.923578256,33.83955672,1436.8114380000002,89.08288213,-0.84,53.24,5.58,-8.34,0.17,7.255,29,4,2,2,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
585,13.42539437,40.56026606,2465.863534,98.01683306,-1.39,53.64,5.52,-2.9,9.79,6.862,14,10,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
