,x,z,spin_rate,release_velo,pitch_type,bats,release_x,release_y,release_z,pfx_x,pfx_z,extension,throws,pitch_result,ump,pitcherid,catcherid,all_star,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,result_ball,result_strike,pitch_type_CB,pitch_type_CH,pitch_type_CT,pitch_type_FF,pitch_type_FT,pitch_type_SL
124,21.87635341,25.45047851,2529.041683,95.21261982,FF,L,-3.33,54.26,5.28,-6.81,9.81,6.242999999999999,R,ball,6,1,1,after,1,1,1,0,,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0
125,10.39394066,36.00129076,2490.870606,95.96121813,FF,L,-3.36,54.57,5.34,-8.05,6.87,5.934,R,ball,6,1,1,after,0,0,1,1,,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0
126,-1.028748773,16.27298818,2749.175093,79.29694364,CB,L,-3.4,54.72,5.46,4.71,-2.16,5.777,R,ball,6,1,1,after,1,1,1,1,,,,1,0,1.0,0.0,0.0,0.0,0.0,0.0
127,-6.63354713,43.52584484,2851.838441,79.38763998,CB,L,-3.32,54.73,5.4,5.34,-2.58,5.77,R,ball,6,1,1,after,2,1,1,1,,,,1,0,1.0,0.0,0.0,0.0,0.0,0.0
128,-5.03774375,21.70454065,,80.33154666,CB,L,-3.28,54.72,5.51,4.36,-1.18,5.7829999999999995,R,called_strike,6,1,1,after,0,0,1,2,,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0
129,5.747973768,29.81757938,2539.683601,95.73010794,FF,L,-3.27,54.46,5.39,-7.51,7.9,6.042000000000001,R,called_strike,6,1,1,after,0,1,1,2,,,,0,1,0.0,0.0,0.0,1.0,0.0,0.0
130,2.0152476480000003,30.33406629,2578.408276,85.82232688,SL,R,-3.5,54.72,5.31,2.22,1.69,5.784,R,called_strike,6,1,1,after,0,0,0,0,,,,0,1,0.0,0.0,0.0,0.0,0.0,1.0
131,9.285048398999999,29.90565383,2693.233007,96.95220063,FF,R,-3.53,54.14,5.26,-8.38,8.6,6.361000000000001,R,called_strike,6,1,1,after,0,1,0,0,,,,0,1,0.0,0.0,0.0,1.0,0.0,0.0
132,6.697513464,-0.7713961970000001,2606.884682,86.90725276,SL,R,-3.47,54.58,5.22,-0.4,1.47,5.917000000000001,R,ball,6,1,1,after,0,2,0,0,,,,1,0,0.0,0.0,0.0,0.0,0.0,1.0
133,0.937716359,4.377100312,2575.747835,86.73931356,SL,R,-3.45,54.5,5.25,0.07,-0.16,5.999,R,ball,6,1,1,after,1,2,0,0,,,,1,0,0.0,0.0,0.0,0.0,0.0,1.0
